Data,name,city,state,country,latitude,longitude
ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
